bank_partner,country_code,currency_supported,payment_rail,average_completion_time_in_seconds,number_of_failures_per_thousand_transactions,active,routing_code,operating_hours,is_weekend,cost_in_us_cents,discounted_cost_in_us_cents,discount_rule,transaction_date
NatWest,UK,GBP,CHAPS,847,4,True,TYFRGB4RC92,08:00-16:00,False,1251,1251,,2025-02-24 16:38:24
BMO Harris Bank,US,USD,Fedwire,2670,13,True,640837989,08:30-17:00,False,2660,2610,50 cent discount,2025-01-30 22:54:14
Syndicate Bank,IN,INR,NEFT,953,18,True,IN4671407844,08:00-19:00,False,186,186,,2025-03-12 11:54:26
Fidelity Bank,US,USD,ACH,1265,7,False,848823717,00:00-23:59,True,98,98,,2025-03-01 06:06:07
Volkswagen Bank,DE,EUR,ELIXIR,500,11,True,JZSOGBU6,08:00-16:00,True,316,316,,2025-03-23 00:02:03
Alliance Bank,US,USD,ACH,1541,6,True,914974903,00:00-23:59,False,212,212,,2025-01-31 20:39:10
Bank OZK,US,USD,Fedwire,1219,8,True,351327567,08:30-17:00,True,2639,1847,30% weekend discount,2025-02-15 10:28:47
Commerzbank,DE,EUR,SEPA,1840,11,True,PDEPGB0L,00:00-23:59,False,168,168,,2025-04-22 22:27:34
DZ Bank,DE,EUR,SEPA,1596,12,True,SODOGBNO,00:00-23:59,False,161,161,,2025-01-22 22:26:48
New Bank of India,IN,INR,UPI,505,14,False,IN9222779420,00:00-23:59,False,77,77,,2025-02-12 03:29:00
Siemens Bank GmbH,DE,EUR,SEPA,1308,9,True,TTKKGBFAOY1,00:00-23:59,False,55,55,,2025-04-02 21:44:39
Halifax,UK,EUR,DIRECT,425,0,True,TIGKGB12,00:00-23:59,False,1100,1000,$1 off per 50 txn,2025-02-05 22:58:12
Bank of Ireland,UK,GBP,CHAPS,2850,10,True,EBKCGBPQ21F,08:00-16:00,False,169,169,,2025-03-07 03:13:51
Fidelity Investments,US,USD,Fedwire,1412,2,False,766445492,08:30-17:00,False,2529,2529,,2025-03-20 09:13:06
State Bank of India (SBI),IN,INR,IMPS,1535,13,True,IN9693761760,00:00-23:59,True,1518,1518,,2025-03-09 06:31:32
Sri Lanka Bank,LK,EUR,DOMESTIC_RAIL,1530,0,True,KVFAGBYSWD3,08:00-17:00,False,1208,1208,,2025-03-11 00:47:38
TARGOBANK,DE,EUR,SEPA,1081,19,True,OPUJGBRNQZU,00:00-23:59,False,176,176,,2025-03-19 18:36:34
Guyana Bank,GY,RWF,DOMESTIC_RAIL,458,19,True,VSSEGBWFC6F,08:00-17:00,False,291,291,,2025-01-29 13:34:10
Andhra Bank,IN,INR,NEFT,2214,18,False,IN4370761002,08:00-19:00,False,204,204,,2025-04-15 19:12:58
Hamburg Commercial Bank,DE,EUR,SEPA,2483,14,True,XOSZGBD6,00:00-23:59,False,157,157,,2025-04-16 19:01:15
Citibank,US,USD,Fedwire,3412,20,True,506722898,08:30-17:00,False,2597,2597,,2025-02-17 21:59:11
Bank of Baroda,IN,INR,IMPS,425,12,True,IN9291737663,00:00-23:59,True,1699,1699,,2025-01-12 13:18:06
Allied Bank,US,USD,Fedwire,2554,3,False,448413949,08:30-17:00,True,2635,2635,,2025-03-02 01:19:26
First Direct,UK,GBP,CHAPS,2992,3,True,PQOBGB5RTGM,08:00-16:00,False,306,306,,2025-03-21 06:10:21
Sparkasse,DE,EUR,SEPA,1486,4,False,GQRRGBDSK8U,00:00-23:59,False,85,85,,2025-03-25 09:27:48
Landesbank Baden-W�rttemberg,DE,EUR,SEPA,1959,3,True,BEOLGBMH,00:00-23:59,False,93,93,,2025-01-29 06:08:44
US Bank,US,USD,Fedwire,988,8,True,809631166,08:30-17:00,True,2657,2657,,2025-03-15 12:59:30
First National Bank,US,USD,ACH,3133,0,False,101558163,00:00-23:59,False,199,199,,2025-02-10 02:39:33
Santander UK,UK,GBP,CHAPS,1242,7,True,STLIGBUEGAC,08:00-16:00,True,211,211,,2025-03-29 16:17:14
ICICI Bank,IN,INR,NEFT,2521,13,True,IN0776917314,08:00-19:00,False,135,135,,2025-01-09 16:36:38
Bank of Ireland,UK,GBP,DIRECT,2097,15,False,DXEOGB58VNJ,00:00-23:59,False,122,122,,2025-03-10 10:49:56
Atom Bank PLC,UK,GBP,CHAPS,2998,6,False,SPMVGBFL,08:00-16:00,False,269,269,,2025-03-14 00:16:39
Atom Bank PLC,UK,EUR,DIRECT,603,19,True,PGSVGBF5,00:00-23:59,False,1079,1079,,2025-04-02 17:49:47
Bank of Hawaii,US,USD,CHIPS,490,7,True,792116090,00:00-23:59,False,1154,1154,,2025-02-20 06:09:47
Sparkasse,DE,EUR,ELIXIR,864,16,True,PEXBGBXM,08:00-16:00,True,187,187,,2025-01-12 23:33:59
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2181,14,True,WCVUGB3UISN,08:00-17:00,False,282,182,$1 off per 50 txn,2025-01-28 12:40:04
IndusInd Bank,IN,INR,UPI,582,6,True,IN6061584899,00:00-23:59,False,82,82,,2025-04-04 14:17:07
Metro Bank,UK,GBP,DIRECT,2767,14,True,QMJLGBALAA0,00:00-23:59,False,106,106,,2025-01-03 18:37:46
Fidor Bank,DE,EUR,SEPA,1068,5,False,ITJHGBG029C,00:00-23:59,False,139,139,,2025-02-20 19:23:12
Central Bank of India,IN,INR,NEFT,2107,16,True,IN4961783604,08:00-19:00,True,87,61,30% weekend discount,2025-03-23 22:38:54
UCO Bank,IN,INR,RTGS,3127,14,True,IN7514255777,00:00-23:59,False,2696,2696,,2025-01-16 19:34:45
First Federal Bank of Chicago,US,USD,CHIPS,1287,19,False,384195906,00:00-23:59,False,1101,1051,50 cent discount,2025-03-19 12:50:52
ICICI Bank,IN,INR,IMPS,450,15,True,IN2762587732,00:00-23:59,False,1617,1617,,2025-04-23 05:23:52
First Financial Bank,US,USD,Fedwire,2337,5,True,323878816,08:30-17:00,False,2514,2514,,2025-03-24 00:44:02
Avenues Bank,US,USD,ACH,2855,2,True,285035853,00:00-23:59,False,127,127,,2025-01-21 09:08:42
Volksbank,DE,EUR,ELIXIR,3174,4,True,SPXDGB93,08:00-16:00,False,1304,1304,,2025-01-01 14:18:34
Royal Bank of Scotland,UK,GBP,CHAPS,2434,17,True,CSTNGBQME7E,08:00-16:00,False,1239,1239,,2025-04-11 04:20:30
State Bank of India (SBI),IN,INR,UPI,2613,7,True,IN3964773582,00:00-23:59,False,40,40,,2025-01-21 08:08:06
Axis Bank,IN,INR,RTGS,1609,0,True,IN5551173344,00:00-23:59,False,2687,2687,,2025-02-20 20:52:22
Lloyds Banking Group,UK,GBP,DIRECT,3323,20,True,IITLGB8A,00:00-23:59,True,107,107,,2025-02-22 02:41:42
Bank of Ireland,UK,GBP,CHAPS,923,3,False,NHYTGBIS,08:00-16:00,True,274,274,,2025-02-23 10:49:25
Volksbank,DE,GBP,SEPA,3205,12,True,PNLIGBNT,00:00-23:59,True,1120,1120,,2025-02-01 20:41:08
Halifax,UK,USD,DIRECT,2574,16,True,YMEGGBT53JA,00:00-23:59,False,1181,1181,,2025-01-20 17:46:22
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2529,20,True,OEKCGB21,08:00-17:00,False,275,275,,2025-03-14 06:39:36
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,3470,5,True,MMRUGB80,08:00-17:00,True,210,147,30% weekend discount,2025-01-26 21:35:04
Punjab National Bank,IN,INR,UPI,2921,17,True,IN1169724089,00:00-23:59,False,149,149,,2025-01-31 22:27:22
DZ Bank,DE,EUR,ELIXIR,1130,19,True,TMFMGBAT,08:00-16:00,False,315,315,,2025-02-12 21:50:46
Halifax,UK,GBP,CHAPS,526,16,True,KPQJGB0IQ57,08:00-16:00,False,1367,1367,,2025-01-17 13:13:15
Landesbank Baden-W�rttemberg,DE,EUR,ELIXIR,2263,2,True,GKSTGBYL,08:00-16:00,False,218,218,,2025-04-03 13:04:36
Santander,DE,EUR,ELIXIR,1246,1,True,TZKKGBF007T,08:00-16:00,False,297,247,50 cent discount,2025-04-03 15:22:29
NatWest,UK,GBP,CHAPS,575,11,True,QTQTGBGM,08:00-16:00,False,324,324,,2025-03-03 08:23:33
Landesbank Hessen-Th�ringen,DE,EUR,SEPA,2524,10,True,BJGGGB1J,00:00-23:59,False,56,56,,2025-02-24 09:27:40
Bank of India,IN,INR,RTGS,1029,8,True,IN1859029761,00:00-23:59,True,2562,2562,,2025-03-15 16:56:31
Andhra Bank,IN,INR,UPI,1743,10,True,IN9552240068,00:00-23:59,False,181,181,,2025-01-27 01:11:50
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1788,12,True,NTJJGBX7,08:00-17:00,False,291,291,,2025-04-16 14:22:22
BMO Harris Bank,US,USD,CHIPS,3135,20,False,985901493,00:00-23:59,False,1191,1191,,2025-01-02 05:26:46
Bank of Ireland,UK,GBP,CHAPS,1137,11,True,BVZKGB8B,08:00-16:00,False,270,270,,2025-02-03 14:13:14
Bank of India,IN,INR,NEFT,3043,9,False,IN0543105055,08:00-19:00,False,71,71,,2025-04-11 08:51:55
Punjab National Bank,IN,INR,NEFT,1752,11,True,IN6022282936,08:00-19:00,True,235,235,,2025-02-01 15:52:11
Bank of Baroda,IN,INR,RTGS,3136,3,True,IN2443617808,00:00-23:59,False,2543,2543,,2025-02-18 16:43:28
Metro Bank,UK,EUR,CHAPS,1726,12,True,PDINGBLB80T,08:00-16:00,True,1256,1256,,2025-03-15 06:14:37
Deutsche Bank,DE,EUR,ELIXIR,1221,5,True,TRIHGBQXAO5,08:00-16:00,False,207,207,,2025-03-05 08:28:04
Guyana Bank,GY,GBP,DOMESTIC_RAIL,3340,1,True,MVGNGB89DPR,08:00-17:00,False,1266,1266,,2025-04-15 04:06:53
ING,DE,EUR,ELIXIR,1585,8,True,BBOBGBWR0Z4,08:00-16:00,False,191,191,,2025-02-19 17:55:54
Vanguard Bank,US,USD,CHIPS,2976,5,False,229781992,00:00-23:59,False,1078,1078,,2025-03-03 22:13:21
Barclays,UK,GBP,CHAPS,2097,20,True,RWCGGB3N2RN,08:00-16:00,False,1337,1337,,2025-03-20 08:29:17
IDBI Bank,IN,INR,UPI,2211,18,True,IN3404575827,00:00-23:59,True,151,151,,2025-03-16 16:07:25
Punjab and Sind Bank,IN,INR,UPI,2914,20,True,IN5549462962,00:00-23:59,False,63,63,,2025-01-30 23:56:00
Bank of Baroda,IN,INR,UPI,1107,8,True,IN6257480509,00:00-23:59,False,120,120,,2025-01-23 01:40:29
PNC Bank,US,USD,ACH,3095,1,True,279807043,00:00-23:59,False,152,152,,2025-02-14 02:42:51
Republic Bank,US,USD,ACH,3087,8,False,924360497,00:00-23:59,True,187,131,30% weekend discount,2025-02-01 12:43:32
State Bank of India (SBI),IN,INR,NEFT,3026,10,True,IN6594179402,08:00-19:00,False,68,68,,2025-03-13 12:26:34
First Direct,UK,EUR,CHAPS,1980,12,True,YYKKGBVR,08:00-16:00,False,1380,1380,,2025-02-17 08:23:46
Barclays Bank USA,US,USD,ACH,3467,18,True,696678287,00:00-23:59,False,156,156,,2025-03-06 19:08:24
Syndicate Bank,IN,INR,UPI,982,11,True,IN7280735154,00:00-23:59,False,131,131,,2025-04-09 03:39:13
Siemens Bank GmbH,DE,USD,SEPA,3133,7,True,NMNGGB5M,00:00-23:59,False,1129,1029,$1 off per 50 txn,2025-04-08 18:34:08
Santander UK,UK,USD,SWIFT,53228,4,True,PJVRGBCG,00:00-23:59,False,2568,2568,,2025-03-13 05:39:26
Sri Lanka Bank,LK,EUR,DOMESTIC_RAIL,656,11,False,GHOIGBMBFA6,08:00-17:00,True,1165,816,30% weekend discount,2025-02-16 03:57:45
Commerzbank,DE,GBP,SWIFT,11856,15,True,VJCCGBHTCUZ,00:00-23:59,False,2644,2644,,2025-01-16 07:53:46
Citizens Bank,US,USD,CHIPS,2883,9,True,540872427,00:00-23:59,True,1193,1193,,2025-04-06 21:34:01
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,2857,5,False,LZGPGBRFXJC,08:00-17:00,False,295,295,,2025-03-24 12:49:10
Royal Bank of Scotland,UK,GBP,CHAPS,3529,0,True,ENWSGBA6OKB,08:00-16:00,False,1384,1384,,2025-02-20 05:19:59
Canara Bank,IN,INR,RTGS,1054,15,True,IN2636479500,00:00-23:59,False,2549,2549,,2025-02-12 00:32:23
Royal Bank of Scotland,UK,GBP,DIRECT,2927,10,True,TYXDGBR0MCR,00:00-23:59,False,1235,1235,,2025-04-10 05:49:38
First Bank of the West,US,USD,ACH,1000,9,True,480623781,00:00-23:59,True,171,171,,2025-02-08 18:31:44
Siemens Bank GmbH,DE,EUR,SEPA,2526,1,True,ASTWGBBO,00:00-23:59,False,202,202,,2025-01-15 14:40:30
Atom Bank PLC,UK,GBP,DIRECT,1091,19,True,XADMGB44AU3,00:00-23:59,False,1127,1127,,2025-03-12 12:17:58
ICICI Bank,IN,INR,RTGS,3594,15,False,IN9461545027,00:00-23:59,False,2590,2590,,2025-04-09 02:54:18
NatWest,UK,GBP,CHAPS,494,17,False,AGHYGBX6RY6,08:00-16:00,False,337,337,,2025-02-13 10:10:35
Santander UK,UK,USD,CHAPS,2225,9,True,GBNLGB80HM2,08:00-16:00,False,1349,1349,,2025-01-29 23:06:45
HSBC,UK,GBP,CHAPS,788,3,True,FMDYGB94UDM,08:00-16:00,False,246,246,,2025-02-25 23:31:48
Volksbank,DE,EUR,ELIXIR,2989,3,False,HCEJGB29,08:00-16:00,True,320,320,,2025-03-02 01:11:33
ABC International Bank plc,UK,USD,DIRECT,1361,17,True,ULXTGBL0,00:00-23:59,False,1097,1097,,2025-02-21 04:25:46
Nationwide,UK,GBP,DIRECT,1248,1,False,PEHYGBHL3Z5,00:00-23:59,False,66,66,,2025-01-31 00:55:43
IDBI Bank,IN,INR,RTGS,2194,18,False,IN2445235462,00:00-23:59,False,2547,2547,,2025-04-01 07:53:15
Royal Bank of Scotland,UK,GBP,DIRECT,1711,3,False,WZFDGBWH,00:00-23:59,False,23,23,,2025-03-03 02:13:29
Landesbank Baden-W�rttemberg,DE,EUR,SEPA,3405,3,True,LRURGB5FSF6,00:00-23:59,False,150,150,,2025-02-19 14:43:15
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,2189,12,True,RVGSGB16,08:00-17:00,True,222,155,30% weekend discount,2025-04-05 05:57:59
TD Bank,US,USD,Fedwire,3431,2,True,216695749,08:30-17:00,False,2631,2631,,2025-04-17 00:03:54
Sparkasse,DE,EUR,ELIXIR,1819,17,True,DPLPGBEGRG7,08:00-16:00,False,336,336,,2025-01-08 22:42:54
Volkswagen Bank,DE,EUR,SEPA,1746,7,False,ZMYIGB98SGO,00:00-23:59,True,57,57,,2025-01-26 02:05:41
Bank of Ireland,UK,EUR,CHAPS,1591,7,True,GIUYGB8I,08:00-16:00,False,1381,1381,,2025-04-24 01:44:26
ING,DE,GBP,ELIXIR,922,1,True,YLZZGBRBHLQ,08:00-16:00,False,1270,1270,,2025-01-02 11:38:47
PNC Bank,US,USD,Fedwire,2726,16,True,245408016,08:30-17:00,False,2573,2573,,2025-03-21 17:48:23
HSBC,UK,USD,DIRECT,2965,6,True,WTVTGBCY,00:00-23:59,False,1155,1155,,2025-03-25 09:20:30
Nationwide,UK,GBP,CHAPS,3267,4,True,MFSLGBN9REH,08:00-16:00,False,333,233,$1 off per 50 txn,2025-01-01 03:54:25
IndusInd Bank,IN,INR,NEFT,2851,16,True,IN7525136449,08:00-19:00,False,97,97,,2025-02-14 01:04:04
Axis Bank,IN,INR,NEFT,1434,9,True,IN7983884495,08:00-19:00,False,161,161,,2025-04-15 08:45:07
Capital One,US,USD,CHIPS,3053,19,False,651658295,00:00-23:59,False,1061,1061,,2025-02-12 17:46:14
First Bank of the West,US,USD,Fedwire,2627,5,True,154662844,08:30-17:00,True,2656,1859,30% weekend discount,2025-02-01 17:35:18
Canara Bank,IN,INR,NEFT,1591,2,True,IN9492104243,08:00-19:00,True,76,53,30% weekend discount,2025-03-29 01:46:10
Santander UK,UK,GBP,CHAPS,1659,5,True,KNENGBXL,08:00-16:00,True,191,191,,2025-04-20 12:28:02
Siemens Bank GmbH,DE,EUR,ELIXIR,1032,9,True,XLPYGB9S,08:00-16:00,False,298,298,,2025-04-08 07:30:53
NatWest,UK,GBP,CHAPS,546,14,True,ZDHAGB4O95F,08:00-16:00,False,239,189,50 cent discount,2025-02-19 17:28:46
Royal Bank of Scotland,UK,GBP,DIRECT,798,1,False,BPAIGB7XBZT,00:00-23:59,False,1119,1119,,2025-04-08 05:50:18
Indian Overseas Bank,IN,INR,NEFT,2148,4,True,IN2580700189,08:00-19:00,False,61,-39,$1 off per 50 txn,2025-01-06 14:59:03
IndusInd Bank,IN,INR,NEFT,1617,17,False,IN8073751254,08:00-19:00,False,200,200,,2025-04-07 10:54:02
Sparkasse,DE,EUR,ELIXIR,1658,3,True,PDUAGBA0,08:00-16:00,False,249,249,,2025-03-05 07:16:50
Landesbank Hessen-Th�ringen,DE,EUR,SEPA,1230,18,True,YERLGBOZNY6,00:00-23:59,False,113,113,,2025-02-07 11:04:42
State Bank of India (SBI),IN,INR,IMPS,3344,0,True,IN0742376231,00:00-23:59,False,1529,1429,$1 off per 50 txn,2025-03-14 15:43:52
DZ Bank,DE,EUR,SEPA,2148,2,True,ECVSGB2X,00:00-23:59,False,77,77,,2025-02-19 13:35:10
Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,1267,2,True,WFEJGBUR,08:00-17:00,False,132,132,,2025-02-13 09:58:02
HSBC,UK,GBP,CHAPS,1827,11,True,XHJUGB81L11,08:00-16:00,False,196,196,,2025-01-29 17:05:50
American Express,US,USD,Fedwire,2320,13,False,673481029,08:30-17:00,False,2545,2545,,2025-04-10 18:08:02
IDBI Bank,IN,INR,UPI,1759,10,True,IN4504240784,00:00-23:59,True,108,108,,2025-02-02 13:33:18
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,2032,1,True,FHXPGBPPOLG,08:00-17:00,True,125,88,30% weekend discount,2025-04-20 08:21:49
BankUnited,US,USD,ACH,3207,8,True,420190756,00:00-23:59,False,132,132,,2025-01-17 02:44:41
Punjab and Sind Bank,IN,INR,IMPS,3195,0,True,IN5305063401,00:00-23:59,False,1693,1693,,2025-01-17 20:22:55
IndusInd Bank,IN,INR,IMPS,1350,2,True,IN8744492174,00:00-23:59,True,1612,1612,,2025-04-13 00:30:36
Kotak Mahindra Bank,IN,INR,UPI,777,6,True,IN8822935788,00:00-23:59,False,44,44,,2025-02-06 20:57:23
Royal Bank of Scotland,UK,GBP,DIRECT,1885,0,True,TEYBGBBAPQQ,00:00-23:59,False,1166,1166,,2025-01-16 18:30:25
ICICI Bank,IN,INR,NEFT,2589,10,True,IN8806501265,08:00-19:00,False,205,205,,2025-02-26 19:23:19
Andhra Bank,IN,INR,UPI,1032,16,True,IN2303041502,00:00-23:59,False,11,11,,2025-01-28 20:46:10
Lloyds Banking Group,UK,GBP,DIRECT,3114,0,True,HAJMGBTJA25,00:00-23:59,False,73,73,,2025-02-25 19:33:26
Metro Bank,UK,GBP,DIRECT,3075,2,True,ACYYGB8G,00:00-23:59,True,41,41,,2025-03-22 20:55:02
Bank of the West,US,USD,ACH,1426,5,True,335628157,00:00-23:59,False,206,206,,2025-04-18 06:59:19
BankUnited,US,USD,Fedwire,3512,20,True,944338511,08:30-17:00,False,2634,2634,,2025-04-09 09:29:58
Landesbank Baden-W�rttemberg,DE,USD,SEPA,1184,8,True,GJPDGBZ6,00:00-23:59,False,1176,1176,,2025-02-19 04:34:21
Sparkasse,DE,EUR,ELIXIR,1707,4,True,IGJYGBCSMZI,08:00-16:00,False,283,283,,2025-01-03 00:57:16
American Savings Bank,US,USD,CHIPS,1059,16,True,506750681,00:00-23:59,False,1024,1024,,2025-01-24 03:32:29
Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,2872,12,True,KHOEGB2NZB5,08:00-17:00,False,276,276,,2025-04-15 16:19:49
Hamburg Commercial Bank,DE,EUR,ELIXIR,1128,3,False,WVJJGBOTRCD,08:00-16:00,False,223,223,,2025-01-14 20:16:12
ING,DE,EUR,SEPA,1933,9,True,WNCOGB58,00:00-23:59,False,64,14,50 cent discount,2025-04-03 05:35:11
Metro Bank,UK,USD,CHAPS,3426,8,True,HEBFGB4I,08:00-16:00,False,1287,1287,,2025-01-21 21:17:50
Atom Bank PLC,UK,GBP,CHAPS,1894,10,True,PJDMGBNC5TK,08:00-16:00,False,269,269,,2025-04-15 00:35:02
Andhra Bank,IN,INR,IMPS,414,2,True,IN0433629679,00:00-23:59,True,1682,1682,,2025-01-25 20:23:05
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,363,18,True,NCFUGB8EOAU,08:00-17:00,True,218,218,,2025-04-05 16:19:02
American Express Bank,US,USD,Fedwire,1208,15,False,973906916,08:30-17:00,False,2583,2583,,2025-02-20 17:14:10
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,2030,0,True,IXPOGBUFDH2,08:00-17:00,True,110,110,,2025-02-16 16:45:56
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,2158,10,True,EBTQGBT7,08:00-17:00,False,271,271,,2025-02-19 14:02:29
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,2580,8,True,BBKEGBET,08:00-17:00,False,114,114,,2025-04-03 16:34:35
Punjab and Sind Bank,IN,INR,IMPS,1064,5,True,IN6145287737,00:00-23:59,True,1608,1608,,2025-02-22 02:16:27
Halifax,UK,GBP,DIRECT,939,1,True,OTVLGBBJ,00:00-23:59,False,57,57,,2025-03-27 00:52:28
Midwest Bank,US,USD,ACH,1234,10,True,742907372,00:00-23:59,False,165,165,,2025-02-06 17:23:08
Bank of the West,US,USD,ACH,1935,17,True,095580954,00:00-23:59,False,136,136,,2025-03-28 12:27:18
IndusInd Bank,IN,INR,IMPS,1608,5,True,IN6422532509,00:00-23:59,False,1627,1627,,2025-01-01 04:10:51
Royal Bank of Scotland,UK,GBP,DIRECT,2096,7,True,WTDJGBORDXT,00:00-23:59,False,171,171,,2025-01-15 10:13:30
NatWest,UK,USD,DIRECT,3367,14,False,ROJMGBH5,00:00-23:59,False,1091,1091,,2025-03-11 07:40:11
Hamburg Commercial Bank,DE,EUR,SEPA,1484,5,True,MYJSGBTWIOY,00:00-23:59,False,125,125,,2025-02-10 12:38:31
First Republic Bank,US,USD,ACH,3345,16,True,450304331,00:00-23:59,True,170,170,,2025-02-15 04:47:04
Navy Federal Credit Union,US,USD,ACH,820,3,False,153621542,00:00-23:59,True,78,78,,2025-02-08 01:57:43
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,3038,5,True,ERGWGBNL,08:00-17:00,False,190,140,50 cent discount,2025-03-28 04:27:30
National Sri Lanka Bank,LK,GBP,SWIFT,8783,16,False,UXICGBTD,00:00-23:59,True,2667,2667,,2025-04-13 06:56:06
Guyana Bank,GY,RWF,DOMESTIC_RAIL,530,7,True,HWJYGBBD,08:00-17:00,True,215,215,,2025-01-18 00:29:21
Barclays,UK,GBP,DIRECT,1947,14,True,PNZXGBD5H3F,00:00-23:59,True,112,112,,2025-03-23 14:13:16
First Direct,UK,GBP,CHAPS,2806,11,True,CCIGGB17,08:00-16:00,False,1350,1350,,2025-02-13 23:11:49
UCO Bank,IN,INR,UPI,353,18,True,IN2199180047,00:00-23:59,True,198,139,30% weekend discount,2025-02-22 02:38:50
Kotak Mahindra Bank,IN,INR,RTGS,2781,19,True,IN3224984271,00:00-23:59,False,2641,2641,,2025-04-08 16:57:39
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,1279,9,True,ZFRRGB1ZUSU,08:00-17:00,True,217,152,30% weekend discount,2025-02-22 17:53:42
ICICI Bank,IN,INR,NEFT,3248,16,False,IN5998608947,08:00-19:00,False,222,222,,2025-01-09 11:31:00
TARGOBANK,DE,EUR,SEPA,3110,10,True,ETUUGBZK,00:00-23:59,False,101,101,,2025-04-18 11:12:37
Citizens Bank,US,USD,Fedwire,982,5,True,200270222,08:30-17:00,True,2574,2574,,2025-01-19 04:37:05
Signature Bank,US,USD,Fedwire,3374,7,True,591510172,08:30-17:00,False,2689,2689,,2025-02-28 13:23:08
Volkswagen Bank,DE,GBP,SEPA,2573,3,True,RIKNGB0N,00:00-23:59,False,1180,1180,,2025-01-06 14:37:46
Fidor Bank,DE,EUR,ELIXIR,3573,4,True,BBMMGBRG,08:00-16:00,False,217,167,50 cent discount,2025-03-28 05:14:05
First Republic Bank,US,USD,ACH,915,3,False,515227593,00:00-23:59,False,101,1,$1 off per 50 txn,2025-01-27 16:28:55
UCO Bank,IN,INR,IMPS,1478,9,True,IN5674148439,00:00-23:59,True,1636,1636,,2025-03-02 22:48:21
Indian Bank,IN,INR,RTGS,3425,15,True,IN1643554787,00:00-23:59,False,2666,2666,,2025-01-03 04:33:02
Bank of Maharashtra,IN,INR,UPI,2659,15,True,IN9404591997,00:00-23:59,False,105,105,,2025-02-13 12:08:18
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,3431,10,True,HVQVGBP3,08:00-17:00,False,187,187,,2025-03-05 12:23:44
ICICI Bank,IN,INR,RTGS,3397,4,True,IN9575617788,00:00-23:59,False,2688,2688,,2025-04-04 16:55:34
Alliance Bank,US,USD,ACH,727,5,True,794599392,00:00-23:59,False,108,108,,2025-04-21 17:33:53
Bank of Ireland,UK,GBP,DIRECT,3270,3,True,AJVRGB9S,00:00-23:59,True,162,162,,2025-04-13 19:25:23
PNC Bank,US,USD,ACH,2243,19,True,411088394,00:00-23:59,True,74,74,,2025-03-16 19:15:13
First United Bank,US,USD,CHIPS,807,11,True,882735760,00:00-23:59,False,1167,1167,,2025-02-20 02:49:20
Hamburg Commercial Bank,DE,EUR,SEPA,3269,2,True,RXGOGBN8EIT,00:00-23:59,False,172,172,,2025-03-04 08:19:15
Landesbank Baden-W�rttemberg,DE,EUR,SEPA,2932,16,True,ZSXMGB8X8XU,00:00-23:59,True,134,94,30% weekend discount,2025-02-02 13:50:07
Santander,DE,EUR,ELIXIR,2330,7,True,LGMJGBL0,08:00-16:00,False,235,235,,2025-01-22 11:46:28
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1625,15,True,VUVFGBGB0IV,08:00-17:00,False,168,168,,2025-01-10 03:01:34
Deutsche Kreditbank Aktiengesellschaft,DE,EUR,SEPA,2086,5,True,DOQWGBU9,00:00-23:59,True,82,82,,2025-04-13 19:10:40
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2744,1,True,ZIVUGBU10HH,08:00-17:00,False,209,209,,2025-04-07 04:25:06
State Bank of India (SBI),IN,INR,RTGS,1556,5,True,IN1007053997,00:00-23:59,False,2529,2529,,2025-02-07 11:13:04
IDBI Bank,IN,INR,RTGS,2634,13,True,IN8553581994,00:00-23:59,False,2569,2569,,2025-02-28 21:54:36
Bank of Ireland,UK,GBP,DIRECT,2551,20,True,PVHGGBW7,00:00-23:59,False,163,163,,2025-01-06 15:48:11
Barclays Bank USA,US,USD,Fedwire,1338,11,True,566853992,08:30-17:00,False,2618,2618,,2025-02-26 20:42:37
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,2684,5,False,GMCPGBNX,08:00-17:00,False,191,191,,2025-03-21 08:16:29
HSBC,UK,GBP,CHAPS,1347,10,True,KWODGBGUIP9,08:00-16:00,False,222,222,,2025-03-19 07:55:05
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,2229,1,True,UQXSGBZE1QZ,08:00-17:00,False,230,230,,2025-03-19 21:34:20
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,1054,20,False,LUEWGB8HR2D,08:00-17:00,False,150,150,,2025-04-21 20:09:42
